Title,Abstract,Journal,Language,Year,Month
Rational multivalency construction enables bactericidal effect amplification and dynamic biomaterial design.,"The multivalency of bioligands in living systems brings inspiration for not only the discovery of biological mechanisms but also the design of extracellular matrix (ECM)-mimicking biomaterials. However, designing controllable multivalency construction strategies is still challenging. Herein, we synthesized a series of well-defined multivalent antimicrobial peptide polymers (mAMPs) by clicking ligand molecules onto polymers prepared by reversible addition-fragmentation chain transfer polymerization. The multiple cationic ligands in the mAMPs could enhance the local disturbance of the anionic phospholipid layer of the bacterial membrane through multivalent binding, leading to amplification of the bactericidal effect. In addition to multivalency-enhanced antibacterial activity, mAMPs also enable multivalency-assisted hydrogel fabrication with an ECM-like dynamic structure. The resultant hydrogel with self-healing and injectable properties could be successfully employed as an antibacterial biomaterial scaffold to treat infected skin wounds. The multivalency construction strategy presented in this work provides new ideas for the biomimetic design of highly active and dynamic biomaterials for tissue repair and regeneration.",Innovation (Cambridge (Mass.)),eng,2023,Sep
Recent Progress in Electronic Skin.,"The skin is the largest organ of the human body and can sense pressure, temperature, and other complex environmental stimuli or conditions. The mimicry of human skin's sensory ability via electronics is a topic of innovative research that could find broad applications in robotics, artificial intelligence, and human-machine interfaces, all of which promote the development of electronic skin (e-skin). To imitate tactile sensing via e-skins, flexible and stretchable pressure sensor arrays are constructed based on different transduction mechanisms and structural designs. These arrays can map pressure with high resolution and rapid response beyond that of human perception. Multi-modal force sensing, temperature, and humidity detection, as well as self-healing abilities are also exploited for multi-functional e-skins. Other recent progress in this field includes the integration with high-density flexible circuits for signal processing, the combination with wireless technology for convenient sensing and energy/data transfer, and the development of self-powered e-skins. Future opportunities lie in the fabrication of highly intelligent e-skins that can sense and respond to variations in the external environment. The rapidly increasing innovations in this area will be important to the scientific community and to the future of human life.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",eng,2015,Oct
Animal models for cartilage repair.,"Cartilage lesions still represent an unsolved problem: despite the efforts of the basic and translational research, the regeneration of this tissue is far from being reached (1-3). Articular cartilage lesions can be divided in two main groups: superficial or partial defects and full-thickness defects (4, 5). Partial lesions are not able to self-heal because multipotent cells from the bone marrow cannot reach the area leading to a progressive degeneration of the tissue (6). Conversely, full-thickness injuries possess greater chances to heal because subchondral bone involvement allows for the migration of mesenchymal cells, which fill the damaged area (7, 8). However, healing occurs through the formation of a fibrocartilaginous tissue, which has different biomechanical and biological properties (9). Native hyaline cartilage has indeed specific biomechanical properties, which confer resistance to compressive and shear stresses; the reparative fibrocartilaginous tissue lacks these abilities, therefore, the surrounding healthy cartilage progressively degenerates. In the past years, several therapeutic strategies have been developed to restore the damaged cartilage, bone marrow stimulation (chondroabrasion, drilling, micro- or nano-fractures) and more recently, tissue engineering approaches (10-14). Some of these latter procedures have already been applied in clinical practice such as matrix-induced autologous chondrocyte implantation (MACI) (15) or osteochondral scaffold implantation (16). Generally, tissue engineering approaches are based on the combination of three main elements: cells (i.e. primary chondrocytes or multipotent mesenchymal cells), biocompatible scaffolds (i.e. polymers, composites, ceramics) and signaling molecules (i.e. growth factors). Moreover, several culture conditions (i.e. static or dynamic cultures) and biomechanical stimuli can be applied during the <i>in vitro</i> culture to promote tissue maturation (17-19). However, an <i>in vivo</i> culture is mandatory to validate a new engineered construct as the <i>in vitro</i> phase lacks the essential <i>in vivo</i> environmental stimuli and because the <i>in vivo</i> culture allows for the testing of the biocompatibility and safety of a new material (18, 19). Moreover, preclinical animal models are crucial to understand the molecular mechanisms of cartilage lesions favoring the development of new regenerative strategies (20, 21). <i>in vivo</i> studies on animal models should focus on the analysis of the cellular component, analyzing the maintenance of the cellular phenotype and the tumorigenicity; on the evaluation of the biocompatibility, toxicity and degradation of the biomaterial and on the assessment of the engineered construct. In this manuscript, we will review the most common preclinical animal models, which are used to understand cartilage biology and therefore to develop new tissue engineering strategies. We will focus on both small and large animal models highlighting their peculiarities, advantages and drawbacks.",Journal of biological regulators and homeostatic agents,eng,2018,No Data
Study on the Performance of Recycled Coarse and Fine Aggregates as Microbial Carriers Applied to Self-Healing Concrete.,"The contradiction between the scarcity of natural resources and the demand for construction materials has given rise to the application of recycled aggregates. Microbial self-healing concrete (SHC) is a clean and smart material, and its carrier has a great influence on repair performance. In this paper, recycled coarse aggregate (RCA) and recycled fine aggregate (RFA) were used as carriers, and their different repair effects over time were intensively investigated. The results showed that the RCA carrier had a better repair effect compared with that of RFA, and the maximum healing width could reach 0.27 mm by 28 day. The microbial repair efficiency was significantly influenced by the distribution of old mortar, with the RFA specimen having a small volume and wide distribution of repair products, while the RCA repair showed a centralized tendency. In addition, SEM, MIP and XRD characterization were used to analyze the repair mechanism. The time-dependent repair model was developed, and the applicability of the model for concrete enhancement under microbial repair was verified through experimental results. The research results could promote industrial applications by giving intelligent and green properties to recycled aggregates.","Materials (Basel, Switzerland)",eng,2023,Mar
"Multi-layered cement-hydrogel composite with high toughness, low thermal conductivity, and self-healing capability.","The inherent quasi-brittleness of cement-based materials, due to the disorder of their hydration products and pore structures, present significant challenges for directional matrix toughening. In this work, a rigid layered skeleton of cement slurry was prepared using a simplified ice-template method, and subsequently flexible polyvinyl alcohol hydrogel was introduced into the unidirectional pores between neighboring cement platelets, resulting in the formation of a multi-layered cement-based composite. A toughness improvement of over 175 times is achieved by the implantation of such hard-soft alternatively layered microstructure. The toughening mechanism is the stretching of hydrogels at the nano-scale and deflections of micro-cracks at the interfaces, which avoid stress concentration and dissipate huge energy. Furthermore, this cement-hydrogel composite also exhibits a low thermal conductivity (around 1/10 of normal cement) and density, high specific strength and self-healing properties, which can be used in thermal insulation, seismic high-rise buildings and long-span bridges.",Nature communications,eng,2023,Jun
Engineered Injectable Cell-Laden Chitin/Chitosan Hydrogel with Adhesion and Biodegradability for Calvarial Defect Regeneration.,"Trade-off of high-strength and dynamic crosslinking of hydrogels remains an enormous challenge. Motivated by the self-healing property of biological tissues, the strategy of combining multiple dynamic bond mechanisms and a polysaccharide network is proposed to fabricate biomimetic hydrogels with sufficient mechanical strength, injectability, biodegradability, and self-healing property for bone reconstruction engineering. Stable acylhydrazone bonds endowed hydrogels with robust mechanical strength (>10 kPa). The integration of dynamic imine bonds and acylhydrazone bonds optimized the reversible characteristic to protect the cell during the injection and mimicked ECM microenvironment for cell differentiation as well as rapid adapting bone defect area. Furthermore, due to the slow enzymatic hydrolysis kinetics of chitosan and the self-healing properties of resulting networks, hydrogels exhibited a satisfactory biodegradation period (>8 weeks) that highly matches with bone regeneration. Additionally, rBMSC-laden hydrogels exhibited splendid osteogenic induction and bone reconstruction without prefabrication scaffolds and incubation, demonstrating tremendous potential for clinical application. This work proposes an efficient strategy for the construction of a low-cost multifunctional hydrogel, making polysaccharide-based hydrogels as the optimal carrier for enabling cellular functions in bone repair.",ACS applied materials & interfaces,eng,2023,May
In-Depth Profiling of Calcite Precipitation by Environmental Bacteria Reveals Fundamental Mechanistic Differences with Relevance to Application.,"Microbially induced calcite precipitation (MICP) has not only helped to shape our planet's geological features but is also a promising technology to address environmental concerns in civil engineering applications. However, limited understanding of the biomineralization capacity of environmental bacteria impedes application. We therefore surveyed the environment for different mechanisms of precipitation across bacteria. The most fundamental difference was in ureolytic ability, where urease-positive bacteria caused rapid, widespread increases in pH, whereas nonureolytic strains produced such changes slowly and locally. These pH shifts correlated well with patterns of precipitation on solid medium. Strikingly, while both mechanisms led to high levels of precipitation, we observed clear differences in the precipitate. Ureolytic bacteria produced homogenous, inorganic fine crystals, whereas the crystals of nonureolytic strains were larger and had a mixed organic/inorganic composition. When representative strains were tested in application for crack healing in cement mortars, nonureolytic bacteria gave robust results, while ureolytic strains showed more variation. This may be explained by our observation that urease activity differed between growth conditions or by the different natures and therefore different material performances of the precipitates. Our results shed light on the breadth of biomineralization activity among environmental bacteria, an important step toward the rational design of bacterially based engineering solutions.<b>IMPORTANCE</b> Biomineralization triggered by bacteria is important in the natural environment and has many applications in industry and in civil and geotechnical engineering. The diversity in biomineralization capabilities of environmental bacteria is, however, not well understood. This study surveyed environmental bacteria for their ability to precipitate calcium carbonate minerals and investigated both the mechanisms and the resulting crystals. We show that while urease activity leads to the fastest precipitation, it is by no means essential. Importantly, the same quantities of calcium carbonate are produced by nonureolytic bacteria, and the resulting crystals appear to have larger volumes and more organic components, which are likely beneficial in specific applications. Testing both precipitation mechanisms in a self-healing concrete application showed that nonureolytic bacteria delivered more robust results. Here, we performed a systematic study of the fundamental differences in biomineralization between environmental bacteria, and we provide important information for the design of bacterially based engineering solutions.",Applied and environmental microbiology,eng,2020,Mar
"High-Strength, Tough, Fatigue Resistant, and Self-Healing Hydrogel Based on Dual Physically Cross-Linked Network.","Hydrogels usually suffer from low mechanical strength, which largely limit their application in many fields. In this Research Article, we prepared a dual physically cross-linked hydrogel composed of poly(acrylamide-co-acrylic acid) (PAM-co-PAA) and poly(vinyl alcohol) (PVA) by simple two-steps methods of copolymerization and freezing/thawing. The hydrogen bond-associated entanglement of copolymer chains formed as cross-linking points to construct the first network. After being subjected to the freezing/thawing treatment, PVA crystalline domains were formed to serve as knots of the second network. The hydrogels were demonstrated to integrate strength and toughness (1230 ± 90 kPa and 1250 ± 50 kJ/m(3)) by the introduction of second physically cross-linked network. What̀s more, the hydrogels exhibited rapid recovery, excellent fatigue resistance, and self-healing property. The dynamic property of the dual physically cross-linked network contributes to the excellent energy dissipation and self-healing property. Therefore, this work provides a new route to understand the toughness mechanism of dual physically cross-linked hydrogels, hopefully promoting current hydrogel research and expanding their applications.",ACS applied materials & interfaces,eng,2016,Sep
"A Smart Design Strategy for Super-Elastic Hydrogel with Long-Term Moisture, Extreme Temperature Resistance, and Non-Flammability.","Elastic hydrogel is a promising material category for designing biological muscles, repairable building materials, flexible electronic devices, and vulcanized rubber substitutes, which is required to have a long life, good self-healing performance and extreme temperature tolerance. Herein, a super-elastic mineral hydrogel is developed with long-lasting moisture, based on dynamic physical crosslinking between hydrated calcium ion clusters and amide groups of polyacrylamide (PAM). The complex hydrogel exhibits a super stretchability of 13 600% at room temperature, and can maintain the super flexibility in a wide temperature range of -40-50 °C or for a long period of 28 days. Particularly, the soft material cannot be ignited under an open flame at 400-500 °C, because of coupling dual flame retardant mechanisms containing the endothermic effect of liquid water evaporation and the barrier effect of calcium mineral salt on oxygen. In conclusion, the novel complex hydrogel with excellent tensile property, stability in extreme temperature or long operating time, and flame retardancy may become a promising candidate in the fields of agriculture, food, construction, medicine, and machinery.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",eng,2021,Aug
Linking Molecular Behavior to Macroscopic Properties in Ideal Dynamic Covalent Networks.,"Dynamic covalent networks (DCvNs) are increasingly used in advanced materials design with applications ranging from recyclable thermosets to self-healing hydrogels. However, the relationship between the underlying chemistry at the junctions of DCvNs and their macroscopic properties is still not fully understood. In this work, we constructed a robust framework to predict how complex network behavior in DCvNs emerges from the chemical landscape of the dynamic chemistry at the junction. Ideal dynamic covalent boronic ester-based hydrogels were used as model DCvNs. We developed physical models that describe how viscoelastic properties, as measured by shear rheometry, are linked to the molecular behavior of the dynamic junction, quantified via fluorescence and NMR spectroscopy and DFT calculations. Additionally, shear rheometry was combined with Transition State Theory to quantify the kinetics and thermodynamics of network rearrangements, enabling a mechanistic understanding including preferred reaction pathways for dynamic covalent chemistries. We applied this approach to corroborate the ""loose-bolt"" postulate for the reaction mechanism in Wulff-type boronic acids. These findings, grounded in molecular principles, advance our understanding and rational design of dynamic polymer networks, improving our ability to predict, design, and leverage their unique properties for future applications.",Journal of the American Chemical Society,eng,2020,Sep
Data of a stiffness softening mechanism effect on proliferation and differentiation of a human bone marrow derived mesenchymal stem cell line towards the chondrogenic and osteogenic lineages.,"This article contains data related to the research article entitled ""Stiffness memory of indirectly 3D-printed elastomer nanohybrid regulates chondrogenesis and osteogenesis of human mesenchymal stem cells"" [1] (Wu et al., 2018). Cells respond to the local microenvironment in a context dependent fashion and a continuous challenge is to provide a living construct that can adapt to the viscoelasticity changes of surrounding tissues. Several materials are attractive candidates to be used in tissue engineering, but conventional manufactured scaffolds are primarily static models with well-defined and stable stiffness that lack the dynamic biological nature required to undergo changes in substrate elasticity decisive in several cellular processes key during tissue development and wound healing. A family of poly (urea-urethane) (PUU) elastomeric nanohybrid scaffolds (PUU-POSS) with thermoresponsive mechanical properties that soften by reverse self-assembling at body temperature had been developed through a 3D thermal induced phase transition process (3D-TIPS) at various thermal conditions: cryo-coagulation (CC), cryo-coagulation and heating (CC + H) and room temperature coagulation and heating (RTC + H). The stiffness relaxation and stiffness softening of these scaffolds suggest regulatory effects in proliferation and differentiation of human bone-marrow derived mesenchymal stem cells (hBM-MSCs) towards the chondrogenic and osteogenic lineages.",Data in brief,eng,2018,Dec
Fabrication of Highly Thermally Resistant and Self-Healing Polysiloxane Elastomers by Constructing Covalent and Reversible Networks.,"The fabrication of self-healing elastomers with high thermal stability for use in extreme thermal conditions such as aerospace remains a major challenge. A strategy for preparing self-healing elastomers with stable covalent bonds and dynamic metal-ligand coordination interactions as crosslinking sites in polydimethylsiloxane (PDMS) is proposed. The added Fe (III) not only serves as the dynamic crosslinking point at room temperature which is crucial for self-healing performance, but also plays a role as free radical scavenging agent at high temperatures. The results show that the PDMS elastomers possessed an initial thermal degradation temperature over 380 °C and a room temperature self-healing efficiency as high as 65.7%. Moreover, the char residue at 800 °C of PDMS elastomer reaches 7.19% in nitrogen atmosphere, and up to 14.02% in air atmosphere by doping a small amount (i.e., 0.3 wt%) of Fe (III), which is remarkable for the self-healing elastomers that contain weak and dynamic bonds with relatively poor thermal stability. This study provides an insight into designing self-healing PDMS-based materials that can be targeted for use as high-temperature thermal protection coatings.",Macromolecular rapid communications,eng,2023,Sep
Cephalopods-Inspired Rapid Self-Healing Nanoclay Composite Coatings with Oxygen Barrier and Super-Bubble-Phobic Properties.,"Polymeric coatings with oxygen barrier properties are an important technology in food packaging that can extend the shelf life of food products and reduce waste. Although a typical technology in practical use is the deposition of metal or inorganic materials between multilayer films to reduce the oxygen transmission rate, once the film is damaged, oxygen permeates through the damaged area, damaging the packaged food. In addition, nanobrick wall structures consisting of nanoplatelet bricks have the potential to replace barrier films made of inorganic materials; however, they similarly lack repair performance or have slow repair speed despite having repair performance. Inspired by the rapid self-repair mechanism of cephalopods, the study develops a nanoclay-containing coating that can rapidly repair surface damage via water within 10 s. By introducing CaCl<sub>2</sub>-derived counterions and montmorillonite for nanobrick wall structures into polyelectrolyte multilayers stacked by layer-by-layer self-assembly, the noncovalent polymer network is increased, resulting in mimicking a strong cephalopod-derived β-sheet structure and noncovalent intermolecular interactions derived from cephalopods. The high water retention at the surface showed super-bubble-phobicity in water and inhibited gas permeation. The oxygen permeability of the coatings with more than a certain amount of montmorillonite was less than 1/100 of that of bare polyethylene. The ultrafast self-healing gas barrier coating has the potential to be used not only for food products but also for electronics and pharmaceutical packaging and gas separation applications. The key technology developed in this study provides novel insights into the construction of self-healing membranes made of composite materials and will contribute to the formation of a sustainable society.",ACS applied materials & interfaces,eng,2021,Aug
Layer-by-Layer Microneedle-Mediated rhEGF Transdermal Delivery for Enhanced Wound Epidermal Regeneration and Angiogenesis.,"Appropriate treatments for acute traumas tend to avoid hemorrhages, vascular damage, and infections. However, in the homeostasis-imbalanced wound microenvironment, currently developed therapies could not precisely and controllably deliver biomacromolecular drugs, which are confronted with challenges due to large molecular weight, poor biomembrane permeability, low dosage, rapid degradation, and bioactivity loss. To conquer this, we construct a simple and effective layer-by-layer (LBL) self-assembly transdermal delivery patch, bearing microneedles (MN) coated with recombinant human epidermal growth factor (LBL MN-rhEGF) for a sustained release to wound bed driven by typical electrostatic force. Pyramidal LBL MN-rhEGF patches hold so enough mechanical strength to penetrate the stratum corneum, and generated microchannels allow rhEGF direct delivery in situ. The administrable delivery of biomacromolecular rhEGF through hierarchically coated MN arrays follows the diffusion mechanism of Fick's second law. Numerous efforts further have illustrated that finger-pressing LBL MN-rhEGF patches could not only promote cell proliferation of normal human dermal fibroblasts (NHDF) and human umbilical vein endothelial cells (HUVEC) <i>in vitro</i> but also take significant effects (regenerative epidermis: ∼144 μm; pro-angiogenesis: higher CD31 expression) in accelerating wound healing of mechanically injured rats, compared to the traditional dressing, which relies on passive diffusion. Our proof-of-concept features novel LBL biomacromolecular drug-delivery systems and self-administrated precision medicine modes at the point of care.",ACS applied materials & interfaces,eng,2023,May
Ultrastretchable Conductive Polymer Complex as a Strain Sensor with a Repeatable Autonomous Self-Healing Ability.,"Wearable strain sensors are essential for the realization of applications in the broad fields of remote healthcare monitoring, soft robots, and immersive gaming, among many others. These flexible sensors should be comfortably adhered to the skin and capable of monitoring human motions with high accuracy, as well as exhibiting excellent durability. However, it is challenging to develop electronic materials that possess the properties of skin-compliant, elastic, stretchable, and self-healable. This work demonstrates a new regenerative polymer complex composed of poly(2-acrylamido-2-methyl-1-propanesulfonic acid), polyaniline, and phytic acid as a skin-like electronic material. It exhibits ultrahigh stretchability (1935%), repeatable autonomous self-healing ability (repeating healing efficiency >98%), quadratic response to strain ( R<sup>2</sup> > 0.9998), and linear response to flexion bending ( R<sup>2</sup> > 0.9994), outperforming current reported wearable strain sensors. The deprotonated polyelectrolyte, multivalent anion, and doped conductive polymer, under ambient conditions, synergistically construct a regenerative dynamic network of polymer complex cross-linked by hydrogen bonds and electrostatic interactions, which enables ultrahigh stretchability and repeatable self-healing. Sensitive strain-responsive geometric and piezoresistive mechanisms of the material owing to the homogeneous and viscoelastic nature provide excellent linear responses to omnidirectional tensile strain and bending deformations. Furthermore, this material is scalable and simple to process in an environmentally friendly manner, paving the way for the next-generation flexible electronics.",ACS applied materials & interfaces,eng,2019,Jun
Bacteria incorporated with calcium lactate pentahydrate to improve the mortar properties and self-healing occurrence.,"Concrete can be harmful to the environment due to its high energy consumption and CO<sub>2</sub> emission and also has a potential crack formation, which can promote a drop in its strength. Therefore, concrete is considered as a non-sustainable material. The mechanisms by which bacterial oxidation of organic carbon can precipitate calcite that may fill the voids and cracks on cement-based materials have been extensively investigated to prevent and heal the micro-cracks formation. Hence, this study focused on utilizing a new alkaliphilic bacterial strain indigenous to an Indonesian site, Lysinibacillus sphaericus strain SKC/VA-1, incorporated with calcium lactate pentahydrate, as a low-cost calcium source, with various bacterial inoculum concentrations. The bacterium was employed in this study due to its ability to adapt to basic pH, thus improving the physical properties and rejuvenating the micro-cracks. Experimentally, the addition of calcium lactate pentahydrate slightly affected the mortar properties. Likewise, bacteria-incorporated mortar exhibited an enhancement in the physical properties of mortar. The highest improvement of mechanical properties (an increase of 45% and 36% for compressive and indirect tensile strength, respectively) was achieved by the addition of calcium lactate pentahydrate incorporated with 10% v/v bacterial inoculum [about 7 × 10<sup>7</sup> CFU/ml (colony-forming unit/ml)]. The self-healing took place more rapidly on bacterial mortar supplemented with calcium lactate pentahydrate than on the control specimen. XRD analysis demonstrated that the mineralogical composition of self-healing precipitates was primarily dominated by calcite (CaCO<sub>3</sub>), indicating the capacity of L. sphaericus strain SKC/VA-1 to precipitate calcite through organic carbon oxidation for self-healing the artificial crack on the mortar. To our knowledge, this is the first report on the potential utilization of the bacterium L. sphaericus incorporated with calcium lactate pentahydrate to increase the mortar properties, including its self-healing ability. However, further study with the water-cement ratio variation is required to investigate the possibility of using L. sphaericus and calcium lactate pentahydrate as an alternative method rather than reducing the water-cement ratio to enhance the mortar properties.",Scientific reports,eng,2020,Oct
Direct and Efficient Incorporation of DOPA into Resilin-Like Proteins Enables Cross-Linking into Tunable Hydrogels.,"3,4-Dihydroxyphenylalanine (DOPA), a naturally occurring yet noncanonical amino acid, endows protein polymers with diverse chemical reactivities and novel functionalities. Although many efforts have been made to incorporate DOPA into proteins, the incorporation efficiency and production titer remain low and severely hinder the exploration of these peculiar proteins for biomaterial fabrication. Here, we report an efficient biosynthetic strategy to produce large amounts of DOPA-incorporated structural proteins for the fabrication of hydrogels with tunable mechanical properties. First, synthetic genes were constructed that encode repetitive resilin-like proteins (RLPs) with varying proportions of tyrosine residues and molecular weights (<i>M</i><sub>w</sub>). Decoding of these genes into RLPs incorporated with DOPA was achieved via mis-aminoacylation of DOPA by endogenous tyrosyl-tRNA synthetase (TyrRS) in recombinant <i>Escherichia coli</i> cells. By developing a stoichiometry-guided two-phase culture strategy, we achieved independent control of the bacterial growth and protein synthesis phases. This enabled hyperproduction of the DOPA-incorporated RLPs at gram-per-liter levels and with a high DOPA incorporation yield of 76-85%. The purified DOPA-containing RLPs were then successfully cross-linked into bulk hydrogels via facile DOPA-Fe<sup>3+</sup> complexations. Interestingly, these hydrogels exhibited viscoelastic and self-healing properties that are highly dependent on the catechol content and <i>M</i><sub>w</sub> of the RLPs. Finally, exploration of the molecular cross-linking mechanisms revealed that higher DOPA contents of the proteins would result in the concomitant occurrence of metal coordination and oxidative covalent cross-linking. In summary, our results suggest a useful platform to generate DOPA-functionalized protein materials and provide deeper insights into the gelation systems based on DOPA chemistry.",Biomacromolecules,eng,2023,Apr
Effect of the Combination of Superabsorbent Polymers for Autogenous Shrinkage Control with Steel Fibers of High-Performance Concrete under Uniaxial Tension Using DIC.,"This paper presents a study of the effect of a superabsorbent polymer (SAP) for autogenous shrinkage control on the uniaxial tensile behavior of steel fiber reinforced concrete (SFRC). The use of fibers and SAP potentially increases the durability of the concrete, preventing cracking by autogenous shrinkage and enhancing post-cracking behavior. Furthermore, SAP can provide further hydration for self-healing purposes and improve the ductility of the SFRC. In order to evaluate the effect of the addition of SAP in SFRC, dog-bone SFRC specimens with different dosages of superabsorbent polymers were cast and tested under uniaxial tension. The digital image correlation (DIC) technique was used to understand the effect of SAP on the steel fibers' crack-bridging mechanisms. Surface strains and crack openings were inferred using the DIC technique. The effect of SAP and fibers on fresh and hardened concrete was individually investigated by flow tests and compressive strength tests. Autogenous shrinkage was measured in plain concrete to investigate the minimum SAP content required to mitigate autogenous shrinkage of 0.3%. The use of 0.3% SAP was also sufficient to reach multiple cracking behavior. This content of SAP completely suppressed the autogenous shrinkage with minimal side effects on compressive strength. An analytical formulation for the tensile behavior of SFRC was developed using the variable engagement model, presenting a mean correlation of R<sup>2</sup> of 0.97 with the experimental results.","Materials (Basel, Switzerland)",eng,2020,Oct
Self-healable nanocellulose composite hydrogels combining multiple dynamic bonds for drug delivery.,"Herein, we developed two nanocomposite polysaccharide hydrogels TPP-CNC and TPP-CNF via simple mixing method, which were constructed with multiple dynamic bonds. The microstructural features, mechanical properties, rheological properties, healable ability and biocompatibility of the complex hydrogels were evaluated. The TPP-CNC and TPP-CNF complex hydrogels exhibited higher tensile strength than pure polysaccharide hydrogel, from ~259 KPa to ~890 KPa and ~910 KPa, respectively, that was attributed to the contribution of ionic crosslinked network and hydrogen bonds. In addition, the hydrogels indicated superior fatigue resistance and high energy dissipation ratio during loading-unloading tests because of the physical sacrifice bonds, which also decreased the self-healing time at room temperature (~15 min). More importantly, the drug loaded nanocomposite hydrogels showed sustained release, reduction burst release, increased release under acidic environment, and the drug release kinetics belonged to Fickian diffusion mechanism. Therefore, the nanocellulose polysaccharide hydrogels have the highly promising to explore as biomaterials for drug delivery.",International journal of biological macromolecules,eng,2022,Apr
Injectable shear-thinning hydrogels engineered with a self-assembling Dock-and-Lock mechanism.,"Injected therapeutics, such as cells or biological molecules, may have enhanced efficiency when delivered within a scaffold carrier. Here, we describe a dual-component Dock-and-Lock (DnL) self-assembly mechanism that can be used to construct shear-thinning, self-healing, and injectable hydrogels. One component is derived from the RIIα subunit of cAMP-dependent kinase A and is engineered as a telechelic protein with end groups that dimerize (docking step). The second component is derived from the anchoring domain of A-kinase anchoring protein (AD) and is attached to multi-arm crosslinker polymers and binds to the docked proteins (locking step). When mixed, these two DnL components form robust physical hydrogels instantaneously and under physiological conditions. Mechanical properties and erosion rates of DnL gels can be tuned through the AD peptide sequence, the concentration and ratio of each component, and the number of peptides on the cross-linking polymer. DnL gels immediately self-recover after deformation, are resistant to yield at strains as high as 400%, and completely self-heal irrespective of prior mechanical disruption. Mesenchymal stem cells mixed in DnL gels and injected through a fine needle remain highly viable (>90%) during the encapsulation and delivery process, and encapsulated large molecules are released with profiles that correspond to gel erosion. Thus, we have used molecular engineering strategies to develop cytocompatible and injectable hydrogels that have the potential to support cell and drug therapies.",Biomaterials,eng,2012,Mar
Self-Reducible Conjugated Microporous Polyaniline for Long-Term Selective Cr(VI) Detoxication Driven by Tunable Pore Dimension.,"A simple methodology to controllably tune the pore size and Cr(VI) adsorption capacity was reported herein to synthesize a new series of conjugated microporous polyaniline (CMPA) networks. The well-ordered micropore was acquired through our very recent Bristol-Xi'an Jiaotong method, and the pore size was fine-tuned to increase with the increasing length of linkers, mimicking covalent organic frameworks and metal organic frameworks very much. A selective ultrahigh adsorption capacity of 520.8 mg/g was achieved by CMPA-1 in a very fast manner, with a systematically gradual decrease to 173.9 mg/g of CMPA-3 by enlarging the pore size of the networks, featuring tunable adsorption capacity through molecular-size-recognition mechanism. Additionally, our robust CMPA networks, which were constructed by Buchwald-Hartwig chemistry, showed the complete function of polyaniline and were capable of providing, besides large storage capacity for Cr(III), at least 10 reductant/desorption-free cycles for effective Cr(VI) reduction and detoxication through their novel self-reducible redox states. Outcomes showed that our CMPAs could be applied as new self-healing scavengers in the next generation for Cr(VI) storage and detoxication.",ACS applied materials & interfaces,eng,2020,Jun
Regeneration of Vascularized Corticocancellous Bone and Diploic Space Using Muscle-Derived Stem Cells: A Translational Biologic Alternative for Healing Critical Bone Defects.,"Regeneration of functional bone substrate remains a priority in reconstructive surgery especially for patients suffering from complex skeletal defects. Efforts to develop implantable osteoinductive constructs and novel osteoconductive materials remain at the forefront of industry forces and product line development. Despite advancement in clinical practice and bone biology, cancellous autograft remains the gold standard for procedures requiring osteogenic mechanisms of healing. This study investigates the utility of muscle-derived stem cells as a cellular therapy for definitive bone regeneration through a form of neo-osteogenesis.",Plastic and reconstructive surgery,eng,2017,Apr
Degradable Temperature-Sensitive Hydrogel Loaded with Heparin Effectively Prevents Post-Operative Tissue Adhesions.,"Tissue adhesions could occur following surgeries, and severe tissue adhesions can lead to serious complications. Medical hydrogels could be applied at surgical sites as a physical barrier to prevent tissue adhesion. For practical reasons, spreadable, degradable, and self-healable gels are highly demanded. To meet these requirements, we applied carboxymethyl chitosan (CMCS) to poloxamer-based hydrogels to generate low Poloxamer<sub>338</sub> (P<sub>338</sub>) content gels displaying low viscosity at refrigerator temperature and improved mechanical strength at body temperature. Heparin, an effective adhesion inhibitor, was also added to construct P<sub>338</sub>/CMCS-heparin composite hydrogel (PCHgel). PCHgel presents as a flowable liquid below 20 °C and could rapidly transform into gel when spread on the surface of damaged tissue due to temperature change. The introduction of CMCS enabled hydrogels to form a stable self-healable barrier at injured positions and slowly release heparin during the wound healing period before being degraded after ∼14 days. Ultimately, PCHgel significantly reduced tissue adhesion in model rats and displayed higher efficiency than P<sub>338</sub>/CMCS gel without heparin. Its adhesion suppression mechanism was verified, and it also displayed good biosafety. Therefore, PCHgel showed good clinical transformation potential with high efficacy, good safety, and ease of use.",ACS biomaterials science & engineering,eng,2023,Jun
